ICAO,Latitude,Longitude,Name
KHUL,"46° 7' 23.10"" N","67° 47' 31.40"" W",Houlton International Airport (United States)
KHUM,"29° 33' 59.40"" N","90° 39' 37.50"" W",Houma-Terrebonne Airport (United States)
KHUT,"38° 3' 55.80"" N","97° 51' 38.28"" W",Hutchinson Municipal Airport (United States)
KHV,"48° 31' 40.80"" N","135° 11' 16.81"" E",Khabarovsk Novy Airport (Russian Federation)
KHVC,"36° 51' 25.10"" N","87° 27' 18.24"" W",Hopkinsville-Christian County Airport (United States)
KHVE,"38° 25' 4.93"" N","110° 42' 14.54"" W",Hanksville Airport (United States)
KHVN,"41° 15' 49.50"" N","72° 53' 12.50"" W",Tweed-New Haven Airport (United States)
KHVR,"48° 32' 34.70"" N","109° 45' 44.40"" W",Havre City-County Airport (United States)
KHVS,"34° 24' 11.10"" N","80° 7' 9.20"" W",Hartsville Regional Airport (United States)
KHW,"19° 8' 60.00"" S","23° 46' 58.80"" E",Khwai River Lodge Airport (Botswana)
KHWD,"37° 39' 32.10"" N","122° 7' 18.30"" W",Hayward Executive Airport (United States)
KHWO,"26° 0' 4.40"" N","80° 14' 26.60"" W",North Perry Airport (United States)
KHWQ,"46° 26' 55.01"" N","109° 51' 9.97"" W",Wheatland County Airport (United States)
KHWV,"40° 49' 19.00"" N","72° 52' 0.90"" W",Brookhaven Airport (United States)
KHXD,"32° 13' 27.70"" N","80° 41' 50.90"" W",Hilton Head Airport (United States)
KHXF,"43° 20' 57.40"" N","88° 23' 28.05"" W",Hartford Municipal Airport (United States)
KHY,"38° 25' 39.01"" N","44° 58' 24.95"" E","Khoy Airport (Iran, Islamic Republic of)"
KHYA,"41° 40' 9.61"" N","70° 16' 49.28"" W",Cape Cod Gateway Airport (United States)
KHYI,"29° 53' 33.89"" N","97° 51' 46.81"" W",San Marcos Municipal Airport (United States)
KHYR,"46° 1' 30.90"" N","91° 26' 39.40"" W",Sawyer County Airport (United States)
KHYS,"38° 50' 31.96"" N","99° 16' 23.42"" W",Hays Regional Airport (United States)
KHYW,"33° 49' 42.56"" N","79° 7' 19.83"" W",Conway-Horry County Airport (United States)
KHYX,"43° 26' 0.30"" N","83° 51' 44.40"" W",Saginaw County H.W. Browne Airport (United States)
KHZ,"15° 46' 50.88"" S","145° 7' 26.37"" W",Kauehi Airport (French Polynesia)
KHZL,"40° 59' 12.40"" N","75° 59' 41.60"" W",Hazleton Municipal Airport (United States)
KIA,"5° 10' 21.92"" N","59° 29' 29.33"" W",Kaieteur International Airport (Guyana)
KIAB,"37° 37' 18.67"" N","97° 16' 5.49"" W",McConnell AFB (United States)
KIAD,"38° 56' 40.32"" N","77° 27' 20.92"" W",Washington Dulles International Airport (United States)
KIAG,"43° 6' 26.40"" N","78° 56' 46.30"" W",Niagara Falls International Airport (United States)
KIAH,"29° 59' 3.96"" N","95° 20' 29.19"" W",George Bush Intercontinental Airport (United States)
KIBM,"41° 11' 17.00"" N","103° 40' 38.60"" W",Kimball Municipal Airport (Robert E. Arraj Field) (United States)
KIC,"36° 13' 42.30"" N","121° 7' 16.70"" W",Mesa Del Rey Airport (United States)
KICL,"40° 43' 18.42"" N","95° 1' 35.14"" W",Schenck Field (United States)
KICT,"37° 38' 59.80"" N","97° 25' 59.00"" W",Wichita Dwight D. Eisenhower National Airport (United States)
KID,"55° 55' 18.12"" N","14° 5' 7.80"" E",Kristianstad Airport (Sweden)
KIDA,"43° 30' 52.40"" N","112° 4' 14.70"" W",Idaho Falls Regional Airport (United States)
KIDG,"42° 19' 57.35"" N","95° 26' 41.60"" W",Ida Grove Municipal Airport (United States)
KIDI,"40° 37' 56.00"" N","79° 6' 19.90"" W",Indiana County Airport (Jimmy Stewart Field) (United States)
KIDL,"33° 29' 8.60"" N","90° 40' 44.00"" W",Indianola Municipal Airport (United States)
KIDP,"37° 9' 30.10"" N","95° 46' 42.20"" W",Independence Municipal Airport (United States)
KIEN,"43° 1' 21.04"" N","102° 30' 39.64"" W",Pine Ridge Airport (United States)
KIER,"31° 44' 8.59"" N","93° 5' 56.89"" W",Natchitoches Regional Airport (United States)
KIF,"53° 0' 45.00"" N","89° 51' 19.08"" W",Kingfisher Lake Airport (Canada)
KIFA,"42° 28' 14.83"" N","93° 16' 11.83"" W",Iowa Falls Municipal Airport (United States)
KIFP,"35° 9' 26.60"" N","114° 33' 34.30"" W",Laughlin/Bullhead International Airport (United States)
KIGM,"35° 15' 34.10"" N","113° 56' 17.00"" W",Kingman Airport (United States)
KIGQ,"41° 32' 5.70"" N","87° 31' 46.30"" W",Lansing Municipal Airport (United States)
KIGX,"35° 56' 6.00"" N","79° 3' 57.27"" W",Horace Williams Airport (United States)
KIH,"26° 31' 34.32"" N","53° 58' 48.73"" E","Kish International Airport (Iran, Islamic Republic of)"
KIIB,"42° 27' 12.95"" N","91° 56' 51.42"" W",Independence Municipal Airport (United States)
KIIY,"33° 46' 45.90"" N","82° 48' 57.00"" W",Washington-Wilkes County Airport (United States)
KIJ,"37° 57' 21.23"" N","139° 7' 15.61"" E",Niigata Airport (Japan)
KIJD,"41° 44' 38.54"" N","72° 10' 48.85"" W",Windham Airport (United States)
KIJX,"39° 46' 28.59"" N","90° 14' 17.77"" W",Jacksonville Municipal Airport (United States)
KIK,"35° 28' 10.21"" N","44° 20' 56.04"" E",Kirkuk Air Base (Iraq)
KIKG,"27° 33' 3.10"" N","98° 1' 51.30"" W",Kleberg County Airport (United States)
KIKK,"41° 4' 17.00"" N","87° 50' 46.60"" W",Greater Kankakee Airport (United States)
KIKV,"41° 41' 28.90"" N","93° 33' 58.90"" W",Ankeny Regional Airport (United States)
KILE,"31° 5' 9.00"" N","97° 41' 11.40"" W",Skylark Field (United States)
KILG,"39° 40' 43.40"" N","75° 36' 23.50"" W",New Castle Airport (United States)
KILM,"34° 16' 14.21"" N","77° 54' 9.25"" W",Wilmington International Airport (United States)
KILN,"39° 25' 40.51"" N","83° 47' 31.63"" W",Airborne Airpark (United States)
KIM,"28° 48' 10.08"" S","24° 45' 54.72"" E",Kimberley Airport (South Africa)
KIML,"40° 30' 37.17"" N","101° 37' 12.53"" W",Imperial Municipal Airport (United States)
KIMM,"26° 26' 1.76"" N","81° 24' 4.96"" W",Immokalee Airport (United States)
KIMS,"38° 45' 35.70"" N","85° 27' 52.90"" W",Madison Municipal Airport (United States)
KIMT,"45° 49' 6.07"" N","88° 6' 52.35"" W",Ford Airport (United States)
KIN,"17° 56' 8.52"" N","76° 47' 14.99"" W",Norman Manley International Airport (Jamaica)
KIND,"39° 43' 2.39"" N","86° 17' 39.78"" W",Indianapolis International Airport (United States)
KINJ,"32° 5' 1.10"" N","97° 5' 50.10"" W",Hillsboro Municipal Airport (United States)
KINK,"31° 46' 46.66"" N","103° 12' 4.90"" W",Winkler County Airport (United States)
KINL,"48° 33' 58.27"" N","93° 24' 11.04"" W",Falls International Airport (United States)
KINS,"36° 35' 13.86"" N","115° 40' 24.07"" W",Creech Air Force Base (United States)
KINT,"36° 8' 1.40"" N","80° 13' 19.20"" W",Smith Reynolds Airport (United States)
KINW,"35° 1' 18.90"" N","110° 43' 21.10"" W",Winslow-Lindbergh Regional Airport (United States)
KIO,"5° 38' 40.25"" N","169° 7' 10.22"" E",Kili Airport (Marshall Islands)
KIOB,"38° 3' 29.30"" N","83° 58' 46.50"" W",Mount Sterling-Montgomery County Airport (United States)
KIOW,"41° 38' 23.16"" N","91° 32' 53.29"" W",Iowa City Municipal Airport (United States)
KIP,"33° 51' 28.08"" N","98° 29' 25.45"" W",Kickapoo Downtown Airport (United States)
KIPJ,"35° 28' 60.00"" N","81° 9' 40.50"" W",Lincolnton-Lincoln County Regional Airport (United States)
KIPL,"32° 50' 3.19"" N","115° 34' 43.48"" W",Imperial County Airport (United States)
KIPT,"41° 14' 30.61"" N","76° 55' 15.94"" W",Williamsport Regional Airport (United States)
KIR,"52° 10' 51.24"" N","9° 31' 25.61"" W",Kerry Airport (Ireland)
KIRK,"40° 5' 36.60"" N","92° 32' 41.70"" W",Kirksville Regional Airport (United States)
KIRS,"41° 48' 48.00"" N","85° 26' 20.10"" W",Kirsch Municipal Airport (United States)
KIS,"0° 5' 10.10"" S","34° 43' 44.04"" E",Kisumu Airport (Kenya)
KISB,"43° 22' 10.15"" N","95° 45' 35.10"" W",Sibley Municipal Airport (United States)
KISM,"28° 17' 23.30"" N","81° 26' 13.50"" W",Kissimmee Gateway Airport (United States)
KISN,"48° 10' 40.58"" N","103° 38' 32.45"" W",Sloulin Field International Airport (United States)
KISO,"35° 19' 53.20"" N","77° 36' 31.80"" W",Kinston Regional Jetport (at Stallings Field) (United States)
KISP,"40° 47' 42.90"" N","73° 6' 0.80"" W",Long Island MacArthur Airport (United States)
KISQ,"45° 58' 28.50"" N","86° 10' 18.10"" W",Schoolcraft County Airport (United States)
KISW,"44° 21' 37.22"" N","89° 50' 20.30"" W",Alexander Field South Wood County Airport (United States)
KISZ,"39° 14' 48.10"" N","84° 23' 20.30"" W",Blue Ash Airport (United States)
KIT,"36° 16' 27.48"" N","23° 1' 1.20"" E",Kithira Airport (Greece)
KITH,"42° 29' 28.91"" N","76° 27' 32.27"" W",Ithaca Tompkins Regional Airport (United States)
KITR,"39° 14' 33.00"" N","102° 17' 7.40"" W",Kit Carson County Airport (United States)
KIV,"46° 55' 39.72"" N","28° 55' 51.60"" E",Chi?in?u International Airport (Moldova)
KIW,"12° 54' 1.80"" S","28° 8' 59.64"" E",Southdowns Airport (Zambia)
KIWA,"33° 18' 28.08"" N","111° 39' 18.00"" W",Phoenix-Mesa Gateway Airport (United States)
KIWD,"46° 31' 38.91"" N","90° 7' 53.03"" W",Gogebic-Iron County Airport (United States)
KIWH,"40° 45' 43.10"" N","85° 47' 55.50"" W",Wabash Municipal Airport (United States)
KIWI,"43° 57' 41.10"" N","69° 42' 45.20"" W",Wiscasset Airport (United States)
KIWS,"29° 49' 5.50"" N","95° 40' 21.40"" W",West Houston Airport (United States)
KIX,"34° 25' 38.28"" N","135° 14' 38.41"" E",Kansai International Airport (Japan)
KIXD,"38° 49' 51.30"" N","94° 53' 25.10"" W",New Century AirCenter (United States)
KIY,"8° 55' 58.80"" S","39° 31' 1.19"" E","Kilwa Masoko Airport (Tanzania, United Republic of)"
KIYK,"35° 39' 31.83"" N","117° 49' 46.24"" W",Inyokern Airport (United States)
KIZA,"34° 36' 24.55"" N","120° 4' 32.02"" W",Santa Ynez Airport (United States)
KIZG,"43° 59' 28.12"" N","70° 56' 52.35"" W",Eastern Slopes Regional Airport (United States)
KJA,"56° 10' 22.44"" N","92° 29' 35.89"" E",Krasnoyarsk Yemelyanovo Airport (Russian Federation)
KJAC,"43° 36' 26.40"" N","110° 44' 15.90"" W",Jackson Hole Airport (United States)
KJAN,"32° 18' 40.20"" N","90° 4' 33.20"" W",Jackson-Evers International Airport (United States)
KJAS,"30° 53' 8.50"" N","94° 2' 5.80"" W",Jasper County-Bell Field (United States)
KJAX,"30° 29' 38.60"" N","81° 41' 16.30"" W",Jacksonville International Airport (United States)
KJBR,"35° 49' 54.15"" N","90° 38' 47.10"" W",Jonesboro Municipal Airport (United States)
KJCT,"30° 30' 40.54"" N","99° 45' 48.44"" W",Kimble County Airport (United States)
KJDD,"32° 44' 31.93"" N","95° 29' 47.31"" W",Wood County Airport (United States)
KJDN,"47° 19' 43.50"" N","106° 57' 9.68"" W",Jordan Airport (United States)
KJEF,"38° 35' 28.24"" N","92° 9' 22.12"" W",Jefferson City Memorial Airport (United States)
KJER,"42° 43' 36.10"" N","114° 27' 23.90"" W",Jerome County Airport (United States)
KJES,"31° 33' 14.27"" N","81° 52' 57.06"" W",Jesup-Wayne County Airport (United States)
KJFK,"40° 38' 23.10"" N","73° 46' 44.13"" W",John F. Kennedy International Airport (United States)
KJFX,"33° 54' 7.18"" N","87° 18' 51.00"" W",Walker County Airport (Bevill Field) (United States)
KJGG,"37° 14' 21.03"" N","76° 42' 57.95"" W",Williamsburg-Jamestown Airport (United States)
KJHW,"42° 9' 12.20"" N","79° 15' 28.90"" W",Chautauqua County-Jamestown Airport (United States)
KJK,"50° 49' 1.92"" N","3° 12' 16.99"" E",Wevelgem Airport (Belgium)
KJKA,"30° 17' 22.70"" N","87° 40' 18.40"" W",Jack Edwards Airport (United States)
KJKJ,"46° 50' 21.38"" N","96° 39' 49.48"" W",Moorhead Municipal Airport (United States)
KJLN,"37° 9' 6.53"" N","94° 29' 53.77"" W",Joplin Regional Airport (United States)
KJMR,"45° 53' 9.80"" N","93° 16' 18.50"" W",Mora Municipal Airport (United States)
KJMS,"46° 55' 46.99"" N","98° 40' 41.50"" W",Jamestown Regional Airport (United States)
KJOT,"41° 31' 3.70"" N","88° 10' 32.20"" W",Joliet Regional Airport (United States)
KJP,"26° 10' 5.88"" N","127° 17' 34.80"" E",Kerama Airport (Japan)
KJQF,"35° 23' 15.99"" N","80° 42' 32.89"" W",Concord Regional Airport (United States)
KJSO,"31° 52' 9.61"" N","95° 13' 2.60"" W",Cherokee County Airport (United States)
KJST,"40° 18' 58.00"" N","78° 50' 2.20"" W",John Murtha Johnstown-Cambria County Airport (United States)
KJSV,"35° 26' 17.70"" N","94° 48' 10.50"" W",Sallisaw Municipal Airport (United States)
KJVL,"42° 37' 12.90"" N","89° 2' 29.60"" W",Southern Wisconsin Regional Airport (United States)
KJVY,"38° 21' 55.50"" N","85° 44' 17.50"" W",Clark Regional Airport (United States)
KJWG,"35° 51' 52.90"" N","98° 25' 14.70"" W",Watonga Regional Airport (United States)
KJWN,"36° 10' 56.50"" N","86° 53' 12.20"" W",John C. Tune Airport (United States)
KJWY,"32° 27' 22.40"" N","96° 54' 45.70"" W",Mid-Way Regional Airport (United States)
KJXI,"32° 41' 56.40"" N","94° 56' 55.90"" W",Gilmer Municipal Airport (Fox Stephens Field) (United States)
KJXN,"42° 15' 35.23"" N","84° 27' 33.85"" W",Jackson County Airport (Reynolds Field) (United States)
KJYG,"43° 59' 10.74"" N","94° 33' 28.57"" W",St. James Municipal Airport (United States)
KJYL,"32° 38' 43.00"" N","81° 35' 49.60"" W",Plantation Airpark (United States)
KJYM,"41° 55' 16.54"" N","84° 35' 8.75"" W",Hillsdale Municipal Airport (United States)
KJYO,"39° 4' 40.70"" N","77° 33' 27.00"" W",Leesburg Executive Airport (United States)
KJYR,"40° 53' 48.30"" N","97° 37' 22.00"" W",York Municipal Airport (United States)
KJZI,"32° 42' 3.10"" N","80° 0' 10.50"" W",Charleston Executive Airport (United States)
KJZP,"34° 27' 12.50"" N","84° 27' 26.00"" W",Pickens County Airport (United States)
KKA,"64° 56' 22.20"" N","161° 9' 14.43"" W",Koyuk Alfred Adams Airport (United States)
KKC,"16° 27' 59.76"" N","102° 47' 2.39"" E",Khon Kaen Airport (Thailand)
KKE,"35° 15' 46.07"" S","173° 54' 43.21"" E",Bay of Islands Airport (New Zealand)
KKIC,"36° 13' 42.30"" N","121° 7' 16.70"" W",Mesa Del Rey Airport (United States)
KKJ,"33° 50' 45.39"" N","131° 2' 4.88"" E",New Kitakyushu Airport (Japan)
KKLS,"46° 7' 4.80"" N","122° 53' 54.20"" W",Kelso-Longview Airport (United States)
KKM,"14° 56' 57.84"" N","100° 38' 34.79"" E",Sa Pran Nak Airport (Thailand)
KKN,"69° 43' 32.88"" N","29° 53' 28.68"" E","Kirkenes Airport, Høybuktmoen (Norway)"
KKNB,"37° 0' 39.98"" N","112° 31' 52.30"" W",Kanab Municipal Airport (United States)
KKO,"35° 27' 3.96"" S","173° 49' 1.20"" E",Kaikohe Airport (New Zealand)
KKP,"15° 19' 8.04"" S","143° 57' 18.01"" E",Koolburra Airport (Australia)
KKR,"15° 39' 47.88"" S","146° 53' 5.98"" W",Kaukura Airport (French Polynesia)
KKW,"5° 2' 8.77"" S","18° 47' 8.16"" E","Kikwit Airport (Congo, the Democratic Republic of the (Zaire))"
KKX,"28° 19' 16.84"" N","129° 55' 41.16"" E",Kikai Airport (Japan)
KKY,"52° 39' 2.88"" N","7° 17' 46.00"" W",Kilkenny Airport (Ireland)
KKZ,"11° 36' 48.23"" N","102° 59' 49.50"" E",Kaoh Kong Airport (Cambodia (Kampuchea))
KLAA,"38° 4' 10.90"" N","102° 41' 18.60"" W",Lamar Municipal Airport (United States)
KLAF,"40° 24' 44.34"" N","86° 56' 12.84"" W",Purdue University Airport (United States)
KLAL,"27° 59' 20.10"" N","82° 1' 6.80"" W",Lakeland Linder Regional Airport (United States)
KLAM,"35° 52' 47.29"" N","106° 16' 9.89"" W",Los Alamos Airport (United States)
KLAN,"42° 46' 43.32"" N","84° 35' 14.49"" W",Lansing Capital City Airport (United States)
KLAR,"41° 18' 43.40"" N","105° 40' 30.00"" W",Laramie Regional Airport (United States)
KLAS,"36° 4' 48.20"" N","115° 9' 8.10"" W",Harry Reid International Airport (United States)
KLAW,"34° 34' 3.77"" N","98° 24' 59.89"" W",Lawton-Fort Sill Regional Airport (United States)
KLAX,"33° 56' 33.13"" N","118° 24' 29.07"" W",Los Angeles International Airport (United States)
KLB,"14° 59' 53.88"" S","22° 38' 43.44"" E",Kalabo Airport (Zambia)
KLBB,"33° 39' 49.10"" N","101° 49' 22.00"" W",Lubbock Preston Smith International Airport (United States)
KLBE,"40° 16' 33.38"" N","79° 24' 17.27"" W",Arnold Palmer Regional Airport (United States)
KLBF,"41° 7' 34.36"" N","100° 41' 1.16"" W",North Platte Regional Airport (Lee Bird Field) (United States)
KLBL,"37° 2' 39.20"" N","100° 57' 35.50"" W",Liberal Municipal Airport (United States)
KLBO,"37° 38' 54.00"" N","92° 39' 8.80"" W",Floyd W. Jones Lebanon Airport (United States)
KLBR,"33° 35' 35.39"" N","95° 3' 48.80"" W",Clarksville/Red River County Airport (J.D. Trissell Field) (United States)
KLBT,"34° 36' 35.70"" N","79° 3' 34.00"" W",Lumberton Municipal Airport (United States)
KLBX,"29° 6' 31.10"" N","95° 27' 43.50"" W",Brazoria County Airport (United States)
KLC,"14° 8' 48.84"" N","16° 3' 4.68"" W",Kaolack Airport (Senegal)
KLCG,"42° 14' 30.80"" N","96° 58' 53.10"" W",Wayne Municipal Airport (United States)
KLCH,"30° 7' 34.00"" N","93° 13' 24.01"" W",Lake Charles Regional Airport (United States)
KLCI,"43° 34' 22.95"" N","71° 25' 4.23"" W",Laconia Municipal Airport (United States)
KLCK,"39° 48' 49.63"" N","82° 55' 40.16"" W",Rickenbacker International Airport (United States)
KLCQ,"30° 10' 55.40"" N","82° 34' 36.70"" W",Lake City Municipal Airport (United States)
KLD,"56° 49' 28.92"" N","35° 45' 27.73"" E",Mialovo Airport (Russian Federation)
KLDJ,"40° 37' 2.81"" N","74° 14' 40.54"" W",Linden Airport (United States)
KLDM,"43° 57' 45.10"" N","86° 24' 28.50"" W",Mason County Airport (United States)
KLE,"10° 5' 33.00"" N","14° 26' 44.16"" E",Kaélé Airport (Cameroon)
KLEB,"43° 37' 34.00"" N","72° 18' 15.10"" W",Lebanon Municipal Airport (United States)
KLEE,"28° 49' 23.10"" N","81° 48' 31.40"" W",Leesburg International Airport (United States)
KLEM,"45° 55' 7.31"" N","102° 6' 22.24"" W",Lemmon Municipal Airport (United States)
KLEW,"44° 2' 54.50"" N","70° 17' 0.63"" W",Auburn/Lewiston Municipal Airport (United States)
KLEX,"38° 2' 11.40"" N","84° 36' 21.20"" W",Blue Grass Airport (United States)
KLFI,"37° 4' 58.37"" N","76° 21' 37.97"" W",Langley Air Force Base (United States)
KLFK,"31° 14' 2.45"" N","94° 45' 0.00"" W",Angelina County Airport (United States)
KLFT,"30° 12' 19.00"" N","91° 59' 15.40"" W",Lafayette Regional Airport (United States)
KLG,"61° 32' 10.68"" N","160° 20' 27.61"" W",Kalskag Airport (United States)
KLGA,"40° 46' 38.08"" N","73° 52' 21.39"" W",LaGuardia Airport (United States)
KLGB,"33° 49' 3.80"" N","118° 9' 5.80"" W",Long Beach Airport (United States)
KLH,"16° 39' 52.92"" N","74° 17' 21.83"" E",Kolhapur Airport (India)
KLHB,"30° 52' 18.58"" N","96° 37' 20.01"" W",Hearne Municipal Airport (United States)
KLHM,"38° 54' 33.00"" N","121° 21' 4.80"" W",Lincoln Regional Airport (Karl Harder Field) (United States)
KLHV,"41° 8' 8.30"" N","77° 25' 20.31"" W",William T. Piper Memorial Airport (United States)
KLHW,"31° 53' 21.00"" N","81° 33' 44.40"" W",Wright Army Airfield (United States)
KLHX,"38° 2' 59.99"" N","103° 30' 35.13"" W",La Junta Municipal Airport (United States)
KLHZ,"36° 1' 24.04"" N","78° 19' 48.98"" W",Franklin County Airport (United States)
KLI,"4° 9' 27.50"" N","21° 39' 3.24"" E","Kotakoli Airport (Congo, the Democratic Republic of the (Zaire))"
KLIC,"39° 16' 29.20"" N","103° 39' 57.10"" W",Limon Municipal Airport (United States)
KLIT,"34° 43' 46.00"" N","92° 13' 27.50"" W",Little Rock National Airport (Adams Field) (United States)
KLIU,"33° 55' 26.20"" N","102° 23' 12.03"" W",Littlefield Municipal Airport (United States)
KLJ,"55° 42' 42.84"" N","21° 14' 34.08"" E",Klaipeda Airport (Lithuania)
KLJF,"45° 5' 49.70"" N","94° 30' 26.10"" W",Litchfield Municipal Airport (United States)
KLK,"3° 28' 58.80"" N","35° 49' 58.80"" E",Kalokol Airport (Kenya)
KLKP,"44° 15' 52.11"" N","73° 57' 42.72"" W",Lake Placid Airport (United States)
KLKR,"34° 43' 22.72"" N","80° 51' 15.99"" W",Lancaster County Airport (McWhirter Field) (United States)
KLKU,"38° 0' 35.40"" N","77° 58' 12.50"" W",Louisa County Airport (Freeman Field) (United States)
KLKV,"42° 9' 40.00"" N","120° 23' 56.70"" W",Lake County Airport (United States)
KLLJ,"44° 31' 24.90"" N","114° 13' 4.50"" W",Challis Airport (United States)
KLMS,"33° 8' 46.35"" N","89° 3' 44.92"" W",Louisville Winston County Airport (United States)
KLMT,"42° 9' 22.12"" N","121° 43' 59.55"" W",Klamath Falls Airport (United States)
KLNA,"26° 35' 34.97"" N","80° 5' 6.23"" W",Palm Beach County Park Airport (United States)
KLNC,"32° 34' 45.09"" N","96° 43' 8.58"" W",Lancaster Airport (United States)
KLND,"42° 48' 54.85"" N","108° 43' 47.42"" W",Hunt Field (United States)
KLNK,"40° 51' 3.50"" N","96° 45' 33.30"" W",Lincoln Airport (United States)
KLNL,"46° 9' 14.44"" N","89° 12' 43.48"" W",Kings Land O' Lakes Airport (United States)
KLNN,"41° 41' 2.50"" N","81° 23' 23.10"" W",Willoughby Lost Nation Municipal Airport (United States)
KLNP,"36° 59' 15.10"" N","82° 31' 48.00"" W",Lonesome Pine Airport (United States)
KLNR,"43° 12' 42.70"" N","90° 10' 47.40"" W",Tri-County Regional Airport (United States)
KLNS,"40° 7' 18.18"" N","76° 17' 45.95"" W",Lancaster Airport (United States)
KLO,"11° 40' 45.84"" N","122° 22' 33.60"" E",Kalibo International Airport (Philippines)
KLOL,"40° 3' 59.06"" N","118° 33' 54.60"" W",Derby Field (United States)
KLOT,"41° 36' 26.10"" N","88° 5' 46.40"" W",Lewis University Airport (United States)
KLOU,"38° 13' 40.80"" N","85° 39' 49.40"" W",Bowman Field (United States)
KLOZ,"37° 4' 56.04"" N","84° 5' 5.71"" W",London-Corbin Airport (Magee Field) (United States)
KLPC,"34° 39' 56.23"" N","120° 28' 3.01"" W",Lompoc Airport (United States)
KLPR,"41° 20' 39.40"" N","82° 10' 39.50"" W",Lorain County Regional Airport (United States)
KLQ,"2° 37' 24.71"" S","103° 57' 18.01"" E",Keluang Airport (Indonesia)
KLQK,"34° 48' 35.90"" N","82° 42' 10.40"" W",Pickens County Airport (United States)
KLQR,"38° 12' 30.90"" N","99° 5' 9.50"" W",Larned-Pawnee County Airport (United States)
KLR,"56° 41' 7.80"" N","16° 17' 15.36"" E",Kalmar Airport (Sweden)
KLRD,"27° 32' 37.50"" N","99° 27' 41.60"" W",Laredo International Airport (United States)
KLRF,"34° 55' 1.00"" N","92° 8' 59.00"" W",Little Rock Air Force Base (United States)
KLRG,"45° 21' 43.78"" N","68° 32' 5.09"" W",Lincoln Regional Airport (United States)
KLRJ,"42° 46' 40.60"" N","96° 11' 37.30"" W",Le Mars Municipal Airport (United States)
KLRU,"32° 17' 21.90"" N","106° 55' 19.10"" W",Las Cruces International Airport (United States)
KLRY,"38° 36' 36.70"" N","94° 20' 36.70"" W",Lawrence Smith Memorial Airport (United States)
KLS,"46° 7' 4.80"" N","122° 53' 54.20"" W",Kelso-Longview Airport (United States)
KLSB,"32° 20' 0.47"" N","108° 41' 30.26"" W",Lordsburg Municipal Airport (United States)
KLSE,"43° 52' 44.35"" N","91° 15' 24.16"" W",La Crosse Municipal Airport (United States)
KLSK,"42° 45' 13.71"" N","104° 24' 16.39"" W",Lusk Municipal Airport (United States)
KLSN,"37° 3' 49.97"" N","120° 52' 11.51"" W",Los Banos Municipal Airport (United States)
KLSV,"36° 14' 10.31"" N","115° 2' 3.31"" W",Nellis Air Force Base (United States)
KLTS,"34° 40' 1.44"" N","99° 16' 0.05"" W",Altus Air Force Base (United States)
KLU,"46° 38' 33.01"" N","14° 20' 15.72"" E",Klagenfurt Airport (Austria)
KLUF,"33° 32' 6.00"" N","112° 22' 59.02"" W",Luke Air Force Base (United States)
KLUK,"39° 6' 12.00"" N","84° 25' 7.00"" W",Cincinnati Municipal Airport (Lunken Field) (United States)
KLUL,"31° 40' 22.90"" N","89° 10' 22.10"" W",Hesler-Noble Field (United States)
KLV,"50° 12' 10.80"" N","12° 54' 54.00"" E",Karlovy Vary Airport (Czech Republic)
KLVJ,"29° 31' 16.60"" N","95° 14' 31.70"" W",Pearland Regional Airport (United States)
KLVK,"37° 41' 36.20"" N","121° 49' 13.30"" W",Livermore Municipal Airport (United States)
KLVL,"36° 46' 22.20"" N","77° 47' 39.30"" W",Lawrenceville/Brunswick Municipal Airport (United States)
KLVM,"45° 41' 57.80"" N","110° 26' 53.90"" W",Mission Field (United States)
KLVN,"44° 37' 40.30"" N","93° 13' 41.10"" W",Airlake Airport (United States)
KLVS,"35° 39' 15.20"" N","105° 8' 32.60"" W",Las Vegas Municipal Airport (United States)
KLW,"55° 34' 45.12"" N","133° 4' 33.61"" W",Klawock Airport (United States)
KLWA,"42° 21' 4.30"" N","86° 15' 20.30"" W",South Haven Area Regional Airport (United States)
KLWB,"37° 51' 29.90"" N","80° 23' 58.10"" W",Greenbrier Valley Airport (United States)
KLWC,"39° 0' 40.15"" N","95° 12' 59.68"" W",Lawrence Municipal Airport (United States)
KLWD,"40° 37' 60.00"" N","93° 54' 7.81"" W",Lamoni Municipal Airport (United States)
KLWL,"41° 7' 1.70"" N","114° 55' 19.60"" W",Wells Municipal Airport (Harriet Field) (United States)
KLWM,"42° 43' 1.95"" N","71° 7' 24.34"" W",Lawrence Municipal Airport (United States)
KLWS,"46° 22' 28.20"" N","117° 0' 55.40"" W",Lewiston-Nez Perce County Airport (United States)
KLWT,"47° 2' 57.30"" N","109° 28' 0.10"" W",Lewistown Municipal Airport (United States)
KLWV,"38° 45' 51.47"" N","87° 36' 19.79"" W",Lawrenceville-Vincennes International Airport (United States)
KLX,"37° 4' 5.87"" N","22° 1' 31.80"" E",Kalamata Airport (Greece)
KLXN,"40° 47' 25.53"" N","99° 46' 33.29"" W",Jim Kelly Field (United States)
KLXT,"38° 57' 34.90"" N","94° 22' 16.90"" W",Lee's Summit Municipal Airport (United States)
KLXY,"31° 38' 23.41"" N","96° 30' 53.00"" W",Mexia-Limestone County Airport (United States)
KLY,"2° 34' 40.80"" S","26° 44' 2.40"" E","Kinkungwa Airport (Congo, the Democratic Republic of the (Zaire))"
KLYH,"37° 19' 36.07"" N","79° 12' 1.55"" W",Lynchburg Regional Airport (Preston Glenn Field) (United States)
